1, 0, 1, 4, 0, 0, 0, 301, 100, 0
1, 1, 1, 4, 0, 0, 0, 301, 101, 0
1, 2, 1, 4, 0, 0, 0, 301, 102, 0
1, 3, 1, 4, 0, 0, 0, 301, 103, 0
1, 4, 1, 4, 0, 0, 0, 100, 101, 0
1, 5, 1, 4, 0, 0, 0, 100, 102, 0
1, 6, 1, 4, 0, 0, 0, 100, 103, 0
1, 7, 1, 4, 0, 0, 0, 100, 301, 0
1, 8, 1, 4, 0, 0, 0, 101, 100, 0
1, 9, 1, 4, 0, 0, 0, 101, 102, 0
1, 10, 1, 4, 0, 0, 0, 101, 103, 0
1, 11, 1, 4, 0, 0, 0, 101, 301, 0
1, 12, 1, 4, 0, 0, 0, 102, 100, 0
1, 13, 1, 4, 0, 0, 0, 102, 101, 0
1, 14, 1, 4, 0, 0, 0, 102, 103, 0
1, 15, 1, 4, 0, 0, 0, 102, 301, 0
1, 16, 1, 4, 0, 0, 0, 103, 100, 0
1, 17, 1, 4, 0, 0, 0, 103, 101, 0
1, 18, 1, 4, 0, 0, 0, 103, 102, 0
1, 19, 1, 4, 0, 0, 0, 103, 301, 0
